country_code,country_name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961
BLZ,Belize,,,,0.828,0.828,,,,,,,,,1.05,,,,0.548,0.6,,0.492700011,,,0.639199972,,0.471599996,,0.450700015,,0.271899998,,,,,,,,,,,,,,0.341800004,,,,,,,,,
BMU,Bermuda,,,,,,,,,,,,,,,,,1.766,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,,,0.473,,,,,,,,,,1.218,,,,1.299,,0.34,,0.425900012,,,0.449999988,,,,,,0.69749999,,,0.523299992,,,,,,0.490200013,,,,,0.50880003,,,,,0.310565621,,,,
BRA,Brazil,1891,,,1.764,,1.764,1.72,1.694,,,,,,1.15,1.396,,1.308,1.272,1.31,,,,,1.360000014,,1.185299993,,,1.466899991,0.926699996,,,0.767099977,,,,,,0.62440002,,,,,0.492199987,,,,,0.399831623,,,,
BRB,Barbados,,,,1.811,,,,,1.811,,,,,,1.21,,,,1.28,,1.253999949,,,1.139500022,,,,,,0.890699983,,,,,,,,,,,,,,0.522599995,,,,,,,,,
BRN,Brunei Darussalam,,,1.498,1.36,,1.417,,,,,,1.14,,1.006,,,,0.848,,,,,0.746200025,,,,,,,0.533800006,,,0.486799985,0.435200006,,,,,,,,,,0.300000012,,,,,,,,,
BTN,Bhutan,,0.259,,0.023,,0.074,0.023,,,0.051,,,,,0.051,,,,0.16,0.170399994,,,,0.333299995,,,,,,,,0.102499999,0.124600001,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,,,,0.336,,,,0.336,,0.4,,,,,0.288,,,,,0.238000006,0.194100007,,,,0.194100007,0.200499997,,,,,0.143900007,,0.134200007,0.122500002,,,,,0.133100003,,,,,0.064400002,,,,,0.036416605,,,,
CAA,Sub-Saharan Africa (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,,,,,0.048,,,,,0.08,,,,,,,,,0.035,,0.055199999,,,0.038400002,0.039000001,,,,,,,0.042599998,0.0438,0.042800002,,,,,,,,,,0.022700001,,,,,0.030411448,,,,
CAN,Canada,,,,2.068,,1.975,,1.9132,,,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.1
CEA,East Asia and the Pacific (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEB,Central Europe and the Baltics,,,,2.729484935,,,,,,,,,,2.590575613,,,,,,,,,,2.388947733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEU,Europe and Central Asia (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,Switzerland,,,3.938,4.082,,,,3.97,,,,3.6,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.0,3.0,3.0,2.9,3.0,2.9,2.8,2.7,2.6,2.6,2.6,2.6,2.5,2.4,2.2,2.1,2.0,1.9,1.8,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
CHI,Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.522400022,1.457399964,,,,,,,,,,1.200000048,,,,,,,,,
CHL,Chile,,,,1.026,1.024,,,1.283697047,,,1.09,,,,,1.153,,,1.08,1.103000045,,,1.066300035,1.100000024,,,,,,0.816799998,,,,,0.51639998,,,,,,,,,0.463499993,,,,,0.472701818,,,,
CHN,China,,1.94,1.83,1.8,1.75,1.66,1.61,1.6,1.56,,1.42,1.642,1.055,1.68,1.67,1.61,1.61,1.59,1.59,1.580000043,1.549999952,1.549999952,1.549999952,1.56,1.539999962,1.470000029,1.370000005,1.350000024,1.340000033,1.330000043,1.320000052,1.299999952,1.25,1.179999948,1.120000005,1.080000043,1.029999971,1.0,0.959999979,0.920000017,0.889999986,0.860000014,0.850000024,0.860000014,0.879999995,0.910000026,0.939999998,0.959999979,1.070000052,,,,
CIV,Cote d'Ivoire,,,,0.144,,0.144,,,,0.12,,,,,,,,0.09,,,,,,0.087700002,,,,,0.070600003,,,,,,,,,,,,,,,0.064400002,,,,,0.048155513,,,,
CLA,Latin America and the Caribbean (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME,Middle East and North Africa (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,,,,,0.077,,,,,0.19,,,,,,,,0.074,,,0.072899997,0.083700001,,0.082400002,0.083800003,,,,,,,,,,0.071099997,,,,0.071999997,,,,,0.034000002,,,,,0.037062224,,,,
COG,"Congo, Rep.",,,,0.095,,,0.095,,,0.2,,,,,,,,,0.251,,,,,0.27610001,,,,0.252499998,0.252099991,,,0.118900001,,,,0.173800007,,,,,,,,0.100599997,,,,,0.067506753,,,,
COL,Colombia,,,,1.471,,1.43,1.42,1.41,1.39,1.38,1.37,1.35,1.34,1.32,1.088,1.27,1.16,,0.99,,0.904999971,,,1.090000033,,0.873099983,,0.807799995,,0.758400023,,,,,,,0.478399992,,,,,,,0.419699997,,,,,0.377469242,,,,
COM,Comoros,,,,,,,,,,0.146,,,,,,,0.074,,,,,0.127499998,,0.113399997,,0.163499996,,,,0.083899997,,,,,,,,,,,,,,,,,,,,,,,
CPV,Cabo Verde,,,,0.295,,0.572,,,,0.49,,,,,,,,0.171,,,,0.233799994,,,,0.341500014,,0.32949999,,,0.199900001,,,0.176499993,,,,,,,,,,0.082400002,,,,,,,,,
CRI,Costa Rica,1113,,,,,,,,,,,,,1.325,1.719,0.901,0.872,0.864,0.854,0.845399976,0.882600009,,,1.259999991,,0.880599976,0.967800021,,,0.989600003,,,,,0.679499984,,,,,,,,,0.614300013,,,,,0.517096996,,,,
CSA,South Asia (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSS,Caribbean small states,,,,0.801779681,,,,,,,,,,,,,,,,,,,,0.616995556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,,,,6.723,,,6.399,,,,,5.91,,5.897,,,5.304,,5.18,,,,,3.641400099,,2.999900103,,,,1.886100054,,,1.387899995,,,,,,,,,,,0.82160002,,,,,0.875806034,,,,
CUW,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,,,,,,,,,,,,,,,,,1.939,,1.7,,,,,1.700000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,,,2.286,2.753,,2.584,,2.3,,,,2.342,,2.983,2.119,,,2.55,,,,,,1.760599971,,,1.380300045,1.393000007,,,,,0.972500026,0.916499972,,,,,,,,,,0.801599979,,,,,,,,,
CZE,Czech Republic,,,3.624,3.708,,3.625,3.61,3.58,,,3.5,3.5,3.4,3.4,3.1,3.0,3.1,3.0,3.0,2.9,2.9,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.4,2.3,2.3,2.2,2.1,2.1,2.1,2.0,2.0,1.9,1.9,1.9,1.8,,,,,,,,,
DEU,Germany,,,3.806,3.689,,3.531,3.483,3.44,,,3.4,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.0,2.9,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,,,,0.229,,,,0.229,0.18,0.181,,,,,0.133,,,0.14,0.191,,,,,0.162499994,,,,,,0.238499999,,,0.223700002,,,,,,,,,,,0.283899993,,,,,,,,,
DMA,Dominica,,,,,,,,,,,,,1.59,,,,0.5,0.493,0.47,,,,0.527800024,0.460000008,,,,,,0.33860001,,,,,,,,,,,,,,0.160799995,,,,,,,,,
DNK,Denmark,,,,3.424,3.424,,3.419,3.163,,3.59,,2.9,2.8,2.8,2.8,2.8,2.7,2.6,2.6,2.6,2.6,2.6,2.4,2.5,2.5,2.4,2.3,2.3,2.3,2.3,2.1,2.0,1.8,1.8,,,,,,,,,,,,,,,,,,,
AND,Andorra,,,,3.912,3.912,,3.716,3.64,,,3.697,,2.594,2.549,2.594,2.47,2.435,,2.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,,,0.234,0.194,,,,,0.2,,,,0.186,,,,0.11,,,,0.142800003,,,0.109200001,0.129199997,,0.179000005,0.1831,,,,,0.077,,,,,,,,,,,0.064900003,,,,,0.063427798,,,,
